benchmark,norm,full,X,L0,L1,L+,H0,H1,H+
uf20-0103,22,11,0,14,0,0,0,0,0
uf20-0104,69,44,2,56,1,6,0,0,1
uf20-0105,22,14,0,18,0,0,0,0,0
uf20-0106,22,13,0,16,0,0,0,0,0
uf20-0107,22,11,0,16,0,0,0,0,0
uf20-0108,37,20,0,25,0,0,2,0,0
uf20-0109,21,14,1,16,0,0,0,0,0
uf20-0110,113,68,3,86,0,4,3,0,0
uf20-0111,58,35,0,40,0,0,3,0,0
uf20-0112,32,15,0,17,0,0,0,0,0
uf20-0113,22,12,0,14,0,0,0,0,0
uf20-0114,64,39,0,45,0,1,0,0,0
uf20-0115,44,31,1,35,0,2,1,0,0
uf20-0116,40,21,0,28,0,0,1,0,0
uf20-0117,21,12,0,13,0,0,0,0,0
uf20-0118,73,48,2,51,0,3,0,0,2
uf20-0119,23,15,1,17,0,1,1,0,0
uf20-0120,52,32,1,41,0,0,1,0,0
uf20-0121,36,21,1,26,0,0,0,0,0
uf20-0122,23,10,0,10,0,0,2,0,0
uf20-0123,21,10,0,11,0,0,0,0,0
uf20-0124,151,90,5,101,1,4,4,0,0
uf20-0125,43,24,0,35,0,1,0,0,0
uf20-0126,49,30,1,35,1,0,0,0,0
uf20-0127,61,41,4,52,0,2,0,0,0
uf20-0128,37,19,0,26,0,0,0,0,0
uf20-0129,46,25,3,30,0,1,0,0,1
uf20-0130,30,23,1,27,0,1,0,0,0
uf20-0131,238,143,1,195,0,15,2,0,1
uf20-0132,22,10,0,11,0,0,0,0,0
uf20-0133,43,23,0,33,0,0,0,0,0
uf20-0134,72,38,0,53,1,2,1,0,0
uf20-0135,21,11,0,12,0,0,0,0,0
uf20-0136,34,15,0,23,0,0,0,0,0
uf20-0137,135,103,8,120,0,6,1,0,1
uf20-0138,23,14,0,17,0,0,0,0,0
uf20-0139,68,50,2,55,0,4,3,0,0
uf20-0140,53,26,0,36,0,1,1,0,0
uf20-0141,22,13,0,18,0,0,0,0,0
uf20-0142,91,42,2,57,1,3,1,0,0
uf20-0143,94,55,4,56,0,5,3,0,0
uf20-0144,87,62,5,73,1,2,1,0,0
uf20-0145,23,16,1,16,0,0,1,0,0
uf20-0146,41,23,1,28,0,1,0,0,0
uf20-0147,21,11,0,16,0,0,1,0,0
uf20-0148,38,21,0,30,0,0,0,0,0
uf20-0149,40,29,5,31,0,0,0,0,0
